Voltage A RMS,"Average Voltage A RMS, frequency"
3.468233,3.474735965957447,59.9952
3.469881,3.4747153940677964,60.050803
3.468398,3.4746887383966243,60.050803
3.499312,3.4747921974789917,60.050803
3.493497,3.4748704602510463,60.050803
3.491557,3.4749399875,60.050803
3.488366,3.474995697095436,60.050803
3.490648,3.4750603760330576,60.050803
3.477819,3.4750717283950614,60.050803
3.480709,3.4750948319672132,60.050803
3.483137,3.4751276571428575,60.050803
3.478243,3.4751403211382113,60.050803
3.484969,3.475180113360324,60.050803
3.481799,3.4752068024193545,60.050803
3.502903,3.475318032128514,60.050803
3.472131,3.475305284,60.050803
3.498209,3.475396533864542,60.050803
3.474045,3.4753911706349205,60.050803
3.478387,3.4754030118577077,60.050803
3.484346,3.4754382204724408,59.9952
3.477897,3.475447862745098,60.050803
3.477456,3.47545570703125,60.050803
3.485147,3.4754934163424127,59.9952
3.494747,3.475568042635659,60.106509
3.487594,3.475614474903475,60.106509
3.473616,3.4756067884615387,60.050803
3.493908,3.475676908045977,60.050803
3.478039,3.4756859236641224,60.050803
3.490157,3.475740946768061,60.050803
3.500085,3.475833159090909,60.050803
3.493725,3.4759006754716983,60.050803
3.526245,3.476089939849624,59.9952
3.472315,3.4760758014981277,60.050803
3.504634,3.4761823619402987,60.050923
3.508611,3.476302914498141,60.050803
3.489138,3.476350451851852,60.050803
3.494365,3.4764169261992617,60.050803
3.482312,3.476438599264706,60.050803
3.481916,3.476458663003663,60.050803
3.483618,3.476484791970803,60.050923
3.499846,3.476569741818182,60.050803
3.50289,3.4766651050724637,60.050803
3.510032,3.4767855631768954,60.051284
3.4848,3.476814392086331,60.050803
3.490219,3.4768624372759858,60.050803
3.504723,3.4769619392857143,60.050803
3.502639,3.4770533167259785,60.050803
3.501029,3.4771383368794324,60.050803
3.500561,3.4772211024734982,60.051043
3.495003,3.4772837147887325,60.050803
3.519268,3.4774310280701757,60.050803
3.496582,3.4774979895104896,60.051043
3.500624,3.477578567944251,60.050803
3.492361,3.477629895833333,59.9952
3.511832,3.477748242214533,60.051043
3.498958,3.477821379310345,59.9952
3.494992,3.477880384879725,60.106509
3.499466,3.4779543082191777,60.051043
3.497155,3.4780198395904436,59.9952
3.504446,3.478109724489796,60.106509
3.500861,3.478186847457627,60.050803
3.503963,3.4782739290540543,60.106509
3.502194,3.478354468013468,60.050803
3.509103,3.478457651006712,60.050803
3.51766,3.4785887625418064,59.9952
3.521749,3.47873263,59.9952
3.509789,3.47869283,59.9952
3.495259,3.4786650500000005,60.050803
3.506543,3.4786682533333337,60.050803
3.518851,3.478764983333333,60.050803
3.523305,3.478844823333333,59.9952
3.524427,3.4789061100000005,60.050803
3.513934,3.4789395066666664,60.050803
3.512671,3.4789619833333334,60.050803
3.510384,3.479001093333333,60.050803
3.504606,3.4790334599999997,60.050803
3.51689,3.4790245033333336,60.050803
3.507882,3.47909241,60.050803
3.513537,3.4791457799999996,60.050803
3.496567,3.4791649866666665,60.050803
